,name,x,y
584,artichokes,-16.755,-24.530355
585,vodka,45.924927,-9.145444
586,ranch_dressing,-54.048702,-4.8262258
587,tilapia_fillets,-29.59629,26.178213
588,miso_paste,-15.765179,58.96163
589,skirt_steak,-27.901846,40.02778
590,peeled_tomatoes,-41.01445,4.449152
591,asafoetida,18.834766,18.058022
592,superfine_sugar,46.33943,-17.16103
593,baby_carrots,-7.7451477,11.649302
594,spinach_leaves,-24.120869,15.253294
595,refrigerated_piecrusts,43.646782,-43.196266
596,white_miso,-14.309123,60.521835
597,red_food_coloring,31.724806,4.385461
598,chunky_salsa,-60.502815,-4.8198857
599,cachaca,45.029747,-6.477279
600,poppy_seeds,24.672684,14.079422
601,wood,-4.005185,46.19164
602,sirloin_steak,-25.573677,38.631058
603,masala,17.351295,13.841502
604,fresh_curry_leaves,15.787661,19.350355
605,white_hominy,-59.94706,22.289488
606,salad_dressing,-51.852673,-12.975042
607,urad_dal,17.85151,17.949753
608,red_beans,-30.7312,7.084398
609,soba_noodles,-6.9328904,58.409462
610,curry,13.422536,13.069193
611,coarse_sea_salt,-14.110374,20.11275
612,chorizo,-35.349392,8.081701
613,parsnips,4.9877377,-12.211143
614,chuck,-23.810448,34.834274
615,chipotle_peppers,-67.52268,19.745424
616,curds,24.260605,15.151206
617,anchovy_paste,-22.881964,-19.04278
618,phyllo_dough,21.65789,-38.13148
619,plums,39.58009,-17.327902
620,italian_salad_dressing,-50.940163,-13.720764
621,konbu,-13.792319,58.526367
622,chuck_roast,-25.26453,34.69019
623,herbes_de_provence,-7.5905,-26.39776
624,potato_chip,71.2098,16.872616
625,ground_sirloin,-52.7752,-32.862095
626,rigatoni,-29.436703,-38.21462
627,red_enchilada_sauce,-63.879524,-2.0578697
628,halibut_fillets,-15.445309,-4.576593
629,nira,57.24831,18.780632
630,dry_roasted_peanuts,13.427568,54.797276
631,coarse_kosher_salt,-16.617369,21.71226
632,pistachios,26.90654,-34.852272
633,crimini_mushrooms,-11.333546,8.912361
634,steak,-27.306273,28.720594
635,mixed_greens,-26.336166,-17.948656
636,dressing,-40.252243,19.494226
637,taco_sauce,-60.81988,-3.5780468
638,taco_shells,-61.614468,-0.1628986
639,tahini,-23.756243,25.256792
640,littleneck_clams,-12.640961,-5.451583
641,mashed_potatoes,-5.392805,-40.249535
642,poultry_seasoning,-10.128508,-47.526222
643,instant_espresso_powder,56.42089,-24.860067
644,roasting_chickens,-42.317505,23.618464
645,salad,-40.409306,18.11834
646,prunes,21.556303,-32.677357
647,light_mayonnaise,-34.284817,-9.878815
648,white_mushrooms,-12.097007,10.1433325
649,ramen_noodles,-16.862774,59.334538
650,oysters,-19.418034,1.1082373
651,liquid,-21.092686,45.639492
652,escarole,-18.879042,-24.724072
653,pie_crust,42.10845,-42.49846
654,semolina,26.222105,6.481984
655,rotini,-41.835503,-26.771542
656,bird_chile,11.725652,48.20715
657,rib,-4.6150846,-23.669386
658,semolina_flour,26.460627,5.6720967
659,prawn,9.324388,42.99616
660,red_kidney_bean,70.011856,30.188513
661,dipping_sauces,6.7261744,48.747448
662,sausage_links,-44.900887,-24.115152
663,beaten_eggs,52.824425,-44.622585
664,radicchio,-25.24087,-20.361956
665,chopped_green_chilies,-64.959435,-5.2352743
666,unsalted_dry_roast_peanuts,13.077739,54.76124
667,spring_roll_wrappers,-4.3742437,38.8289
668,navel_oranges,38.649513,-7.149539
669,dates,29.325243,-21.876423
670,mackerel,48.335545,23.166512
671,fresh_leav_spinach,-24.520468,16.464249
672,roasted_tomatoes,-44.458515,4.185185
673,haddock,50.547066,22.140081
674,matsutake,57.332954,17.739344
675,salad_oil,-52.266487,32.957767
676,picante_sauce,-62.31883,-2.213978
677,teriyaki_sauce,-1.0057125,49.962822
678,biscuits,-12.272012,-49.646618
679,firmly_packed_light_brown_sugar,31.085905,-15.142503
680,guajillo_chiles,-62.534554,24.398672
681,salami,-33.883442,-21.64974
682,hamburger_buns,-39.68979,-8.574476
683,haricots_verts,-6.307258,5.718119
684,chips,-48.698532,13.180856
685,chutney,24.126364,19.013964
